Business Name (DBA),Address1,Address2,City,State,Zip,Community Board,NAICS Code,Number of Worker-Owners,Number of Non-Member Worker-Owners,Subtype,Borough,Latitude,Longitude,City Council,Census Tract,BIN,BBL,NTA
All Hands and The Cook,1590 Park Avenue,,New York,NY,10029,11 MANHATTAN,Temporary Help Services,10,,Internal Manuals,MANHATTAN,40.798495,-73.943819,8,182,1088600,1200149999,East Harlem North
All Hands and The Cook,1590 Park Avenue,,New York,NY,10029,11 MANHATTAN,Temporary Help Services,10,,Organizational Planning,MANHATTAN,40.798495,-73.943819,8,182,1088600,1200149999,East Harlem North
All Hands and The Cook,1590 Park Avenue,,New York,NY,10029,11 MANHATTAN,Temporary Help Services,10,,,MANHATTAN,40.798495,-73.943819,8,182,1088600,1200149999,East Harlem North
Anuket Ile,409 Morris Park Avenue,,Bronx,NY,10460,6 BRONX,,4,,Business Plan Development,BRONX,40.839207,-73.87415,15,60,2028399,2039090040,Crotona Park East
Anuket Ile,409 Morris Park Avenue,,Bronx,NY,10460,6 BRONX,,4,,Financial Planning,BRONX,40.839207,-73.87415,15,60,2028399,2039090040,Crotona Park East
Anuket Ile,409 Morris Park Avenue,,Bronx,NY,10460,6 BRONX,,4,,Governance Consultation,BRONX,40.839207,-73.87415,15,60,2028399,2039090040,Crotona Park East
Anuket Ile,409 Morris Park Avenue,,Bronx,NY,10460,6 BRONX,,4,,Internal Manuals,BRONX,40.839207,-73.87415,15,60,2028399,2039090040,Crotona Park East
Anuket Ile,409 Morris Park Avenue,,Bronx,NY,10460,6 BRONX,,4,,Market Research,BRONX,40.839207,-73.87415,15,60,2028399,2039090040,Crotona Park East
Anuket Ile,409 Morris Park Avenue,,Bronx,NY,10460,6 BRONX,,4,,Strategic Planning,BRONX,40.839207,-73.87415,15,60,2028399,2039090040,Crotona Park East
Anuket Ile,409 Morris Park Avenue,,Bronx,NY,10460,6 BRONX,,4,,Web Development and Support,BRONX,40.839207,-73.87415,15,60,2028399,2039090040,Crotona Park East
Apple Eco-Cleaning,42-72 80th Street,,New York,NY,11373,4 QUEENS,Janitorial Services,6,1,Bookkeeping,QUEENS,40.742725,-73.885068,25,481,4037984,4015250047,Elmhurst
Apple Eco-Cleaning,42-72 80th Street,,New York,NY,11373,4 QUEENS,Janitorial Services,6,1,Business Plan Development,QUEENS,40.742725,-73.885068,25,481,4037984,4015250047,Elmhurst
Apple Eco-Cleaning,42-72 80th Street,,New York,NY,11373,4 QUEENS,Janitorial Services,6,1,Coaching,QUEENS,40.742725,-73.885068,25,481,4037984,4015250047,Elmhurst
